time,intensity
0.01,--undefined--
0.02,--undefined--
0.03,--undefined--
0.04,--undefined--
0.05,--undefined--
0.06,--undefined--
0.07,--undefined--
0.08,--undefined--
0.09,--undefined--
0.1,--undefined--
0.11,--undefined--
0.12,--undefined--
0.13,4.997087664151233
0.14,7.12546281128954
0.15,9.104323062430552
0.16,10.793077194602919
0.17,12.609600251067864
0.18,13.868617263473501
0.19,15.071141436387606
0.2,16.233985271254866
0.21,17.243897658114083
0.22,18.139192134684965
0.23,19.126477816202545
0.24,20.21776593096341
0.25,21.434483274664696
0.26,22.51200735587503
0.27,23.65805099234067
0.28,24.758527468787403
0.29,25.74769831179983
0.3,26.63910806254137
0.31,27.400084766320106
0.32,28.04453128739042
0.33,28.59134304533482
0.34,28.96907955144996
0.35000000000000003,29.261823872193343
0.36,29.510534545243665
0.37,29.76322107182801
0.38,30.118933152786443
0.39,30.671623885815517
0.4,31.437503444251643
0.41000000000000003,32.3136152149799
0.42,33.20213694840641
0.43,33.96002304809774
0.44,34.51594590702774
0.45,34.83019172858888
0.46,34.90650628437977
0.47000000000000003,34.774288485188016
0.48,34.53147447742156
0.49,34.2822020927104
0.5,34.06997744124521
0.51,34.12301117267946
0.52,34.400229650452395
0.53,34.68408100694394
0.54,35.14104343540326
0.55,35.572250296025885
0.56,35.895477375111966
0.5700000000000001,36.251323730795356
0.58,36.23352374540214
0.59,36.44993828309849
0.6,36.727732250909426
0.61,36.865347934396866
0.62,37.08539894330259
0.63,37.320695994335075
0.64,37.549208246132125
0.65,37.70434738271807
0.66,37.78729289153735
0.67,37.88946250775063
0.68,37.976730303379384
0.6900000000000001,38.02040581244022
0.7000000000000001,38.09215312769079
0.71,38.18875745328643
0.72,38.31380282454051
0.73,38.553951402951185
0.74,38.90413965640863
0.75,39.35877193101745
0.76,39.773356220888644
0.77,40.04004695187026
0.78,39.9541521421394
0.79,40.119839806725714
0.8,40.54268725275724
0.81,42.45865173533282
0.8200000000000001,46.606157351865505
0.8300000000000001,51.40385865280198
0.84,55.80272418367394
0.85,59.59589411119846
0.86,62.78815141487628
0.87,65.4073967183695
0.88,67.49613313421725
0.89,69.08690545058506
0.9,70.20792782007628
0.91,70.88200873175417
0.92,71.12783234987717
0.93,70.96113226373205
0.9400000000000001,70.39662831480719
0.9500000000000001,69.44765177638243
0.96,68.12787084040336
0.97,66.4516658016148
0.98,64.43507709257551
0.99,62.09148348490694
1,59.474258704390174
1.01,56.94858876644189
1.02,56.27022658282755
1.03,59.31859046623966
1.04,63.782748706344236
1.05,67.88462790221865
1.06,71.41810235190911
1.07,74.42354177929646
1.08,76.9518007567506
1.09,79.0474130852727
1.1,80.75988430221614
1.11,82.10560337906895
1.12,83.11878101712995
1.1300000000000001,83.80461210501481
1.1400000000000001,84.17542546957053
1.1500000000000001,84.22581920036497
1.16,83.94884512800019
1.17,83.3316789471732
1.18,82.35740296370513
1.19,81.00717322298168
1.2,79.26176523173228
1.21,77.10472037984255
1.22,74.52958564589643
1.23,71.56037393690538
1.24,68.31023762734182
1.25,65.19482177304137
1.26,63.36599993434126
1.27,64.37154272823112
1.28,67.37088740497899
1.29,70.6786268616218
1.3,73.68371082064539
1.31,76.28461254972532
1.32,78.45336430749951
1.33,80.22194407355754
1.34,81.59342092283644
1.35,82.59338849023969
1.36,83.22150005533
1.37,83.48812897710536
1.3800000000000001,83.39055858416465
1.3900000000000001,82.92724033282727
1.4000000000000001,82.10000434753243
1.41,80.91109250951467
1.42,79.40831090189306
1.43,77.72102459218547
1.44,76.17865912185665
1.45,75.30521191018403
1.46,75.38641071671844
1.47,76.08179631093994
1.48,76.87336216862126
1.49,77.4763838914908
1.5,77.79428531860759
1.51,77.80958180160855
1.52,77.53239340978126
1.53,77.00346026832595
1.54,76.27333392933777
1.55,75.41130386257969
1.56,74.4757043744879
1.57,73.51091727112917
1.58,72.5006719394399
1.59,71.39985587065631
1.6,70.13368791603668
1.61,68.63362275426925
1.62,66.8475330117828
1.6300000000000001,64.74208155402776
1.6400000000000001,62.30475890269947
1.6500000000000001,59.56070563304282
1.6600000000000001,56.596190724935596
1.67,53.62654638036038
1.68,50.996165039334485
1.69,49.0546705652672
1.7,47.75356220520278
1.71,46.778745534313686
1.72,45.87102192140399
1.73,45.044029394802955
1.74,44.42128392761878
1.75,43.40684630589855
1.76,42.50895095131639
1.77,41.867551542426966
1.78,41.33665091467151
1.79,40.990408297377655
1.8,40.58723335720057
1.81,40.207358884413196
1.82,39.689610262052256
1.83,38.83783846021012
1.84,38.11619203793589
1.85,37.30396564017698
1.86,36.81055515421154
1.87,36.56608930752499
1.8800000000000001,--undefined--
1.8900000000000001,--undefined--
1.9000000000000001,--undefined--
1.9100000000000001,--undefined--
1.92,--undefined--
1.93,--undefined--
1.94,--undefined--
1.95,--undefined--
1.96,--undefined--
1.97,--undefined--
1.98,--undefined--
1.99,--undefined--
