time,intensity
0.01,--undefined--
0.02,--undefined--
0.03,--undefined--
0.04,--undefined--
0.05,--undefined--
0.06,--undefined--
0.07,--undefined--
0.08,--undefined--
0.09,--undefined--
0.1,--undefined--
0.11,--undefined--
0.12,--undefined--
0.13,42.014235141177565
0.14,41.49946852380821
0.15,40.82877177943139
0.16,40.37286901597978
0.17,40.25797779573509
0.18,40.46300091367366
0.19,40.74526824592262
0.2,41.02604231552365
0.21,41.23377700010785
0.22,41.37155080884389
0.23,41.5903037270452
0.24,43.154203525916714
0.25,47.1982493299007
0.26,52.534024257618036
0.27,57.67211030558979
0.28,62.14591900972097
0.29,65.95555518779558
0.3,69.16509970778063
0.31,71.8357613637058
0.32,74.01973309762843
0.33,75.7608892848787
0.34,77.09682628125943
0.35000000000000003,78.06135691724136
0.36,78.68834249755051
0.37,79.01626978689895
0.38,79.09546244321726
0.39,78.9962102110416
0.4,78.8147024092238
0.41000000000000003,78.66469370952521
0.42,78.64493720114804
0.43,78.79608804487246
0.44,79.08713793074038
0.45,79.4460322640245
0.46,79.80087455023616
0.47000000000000003,80.09963613240508
0.48,80.30732569664076
0.49,80.39669112270983
0.5,80.34006029976338
0.51,80.10823297161603
0.52,79.67564268337641
0.53,79.03282159148836
0.54,78.21477373552406
0.55,77.35726575102183
0.56,76.75575358960917
0.5700000000000001,76.75475658590791
0.58,77.41467114228233
0.59,78.44227345874775
0.6,79.49303115975891
0.61,80.36437210321329
0.62,80.97858388433639
0.63,81.32213583454843
0.64,81.4106113834148
0.65,81.27599548531552
0.66,80.96213220367343
0.67,80.52243090457769
0.68,80.01582870448935
0.6900000000000001,79.49787312481915
0.7000000000000001,79.00823018682372
0.71,78.56146032483976
0.72,78.14445532878082
0.73,77.72695641397708
0.74,77.27368333644918
0.75,76.76379428276584
0.76,76.21441590535711
0.77,75.70804760933228
0.78,75.39409911488964
0.79,75.41108370525394
0.8,75.75822071617554
0.81,76.27469861666529
0.8200000000000001,76.75243898967365
0.8300000000000001,77.03533691030864
0.84,77.04094884168832
0.85,76.7484713046061
0.86,76.19364188656938
0.87,75.47925483006047
0.88,74.77814955406984
0.89,74.27490505061496
0.9,74.0401663513729
0.91,73.97305203339836
0.92,73.88911451963585
0.93,73.63159718250108
0.9400000000000001,73.10797920100278
0.9500000000000001,72.27609374352245
0.96,71.12328466654941
0.97,69.65402025942653
0.98,67.88630891926613
0.99,65.85751348834548
1,63.63407387999359
1.01,61.33618476885882
1.02,59.15279781009097
1.03,57.302316374067566
1.04,55.94091214447261
1.05,55.08629574260999
1.06,54.775718995576135
1.07,55.25239696180585
1.08,56.90092135432211
1.09,59.51462941119797
1.1,62.45040004168693
1.11,65.2350179478751
1.12,67.67016219750677
1.1300000000000001,69.70454621920953
1.1400000000000001,71.34143061242257
1.1500000000000001,72.60401047476347
1.16,73.52498976477618
1.17,74.1441126666841
1.18,74.507738426935
1.19,74.66797525812982
1.2,74.68000164326597
1.21,74.5965813548395
1.22,74.46209285816317
1.23,74.30774207920887
1.24,74.15028259770182
1.25,73.99395455623474
1.26,73.83345253116477
1.27,73.65694601628938
1.28,73.44835355405267
1.29,73.18890011472566
1.3,72.85774623036316
1.31,72.43133801943506
1.32,71.88183301934899
1.33,71.17676020261675
1.34,70.28024219933707
1.35,69.15658376692332
1.36,67.77087104340855
1.37,66.09818757087948
1.3800000000000001,64.12413996441343
1.3900000000000001,61.852180071813876
1.4000000000000001,59.31118985078169
1.41,56.56635466046997
1.42,53.72628104376485
1.43,50.943372656323675
1.44,48.38948539693724
1.45,46.26982277366356
1.46,44.728604076493376
1.47,43.7529869294736
1.48,43.195041574524616
1.49,42.933550074087044
1.5,42.83497885655265
1.51,42.78627735355821
1.52,42.76306714564234
1.53,--undefined--
1.54,--undefined--
1.55,--undefined--
1.56,--undefined--
1.57,--undefined--
1.58,--undefined--
1.59,--undefined--
1.6,--undefined--
1.61,--undefined--
1.62,--undefined--
1.6300000000000001,--undefined--
1.6400000000000001,--undefined--
1.6500000000000001,--undefined--
